1.834	0	0	0.869	0	0	1.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.447	0	0	0.447	0	0	0.447	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
0	16.175	3.8575	0	16.175	3.8575	0	4.4585	1.9905	0	0.1645	0.25	0	0.16	0.25	0	0.0895	0.0835	0.667	0.236	0	1	0.0555	0
0	4.0155	1.9095	0	2.651	0	0	2.224	1.9095	0	0.4665	0	0	0.8335	0	0	0.5	0	0	0	0.5445	0	0	0.7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.5185	0	0	0	0	0	0.5185	0	0	0	0	0	0	0	0	0	0	0.333	0.225	0	0	0.0625	0
2.766	0	8.514	2.766	0	7.9775	1.869	0	2.697	0	0	0.202	0	0	0.229	0	0	0.05	0	0	0	0	0	0
0	3.65	0.8825	0	3.2	0.8825	0	2.7555	0.447	0	0.262	0.5	0	0.3335	0.5	0	0.15	0	0	0	0.5	1	0	0.5
19.412	1.475	9.3045	17.302	0	6.5465	8.107	1.475	5.8975	0.579	0.1665	0.773	0.581	0	0.8575	0.429	0.1665	0.4965	0.6	0.1	0.4	0.2	0.1	0.5
0	0.4345	0.4965	0	0.4345	0.4965	0	0.4345	0.4965	0	0	0	0	0	0	0	0	0	0.2	0.1	0.1	0	0	0
5.642	4.014	12.0635	3.83	3.049	6.065	1.812	1.392	7.82	0.733	0.278	0.1525	0.833	0.2855	0.235	1	0.1665	0.0515	0.4	0.0555	0	0.4	0	0
19.11	9.336	12.496	19.11	8.438	12.496	10.74	6.6275	7.546	0.521	0.6975	0.7845	0.505	0.75	0.7785	0.309	0.3605	0.1375	0	0	0	0	0.1665	0
8.606	0	0.481	8.606	0	0.481	3.814	0	0.481	0.5	0	0	0.5	0	0	0.667	0	0	0	0.675	0	0	0.375	0
0	2.755	1.367	0	2.755	1.367	0	1.825	0.4465	0	0.1335	0.3335	0	0.1335	0.3335	0	0	0	0	0	0.1	0	0	0
0	1.233	0	0	1.233	0	0	1.233	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0
1.894	0.968	15.853	0.857	0.968	15.853	1.894	0.968	4.098	0	0	0.1785	0	0	0.174	0	0	0.3335	0	0.1	0.1	0	0	0.1
6.189	1.339	0	3.934	0.9015	0	2.255	0.8925	0	0.8	0.1665	0	1	0.5	0	1	0	0	0	0.3	0	0	0.2	0
0	0	3.65	0	0	3.2	0	0	2.7555	0	0	0.262	0	0	0.3335	0	0	0.15	0	0.9	0	0	1	0
32.35	0	0	32.35	0	0	8.917	0	0	0.329	0	0	0.32	0	0	0.179	0	0	0.222	0.5	0.4585	0.111	0.625	0.5
0	4.6565	1.339	0	4.6565	0.9015	0	2.8325	0.8925	0	0.2555	0.1665	0	0.2445	0.5	0	0.2335	0	0	0.4285	0.3	0.2	0.4285	0.2
0	3.8575	0.4735	0	3.8575	0.4735	0	1.9905	0.4735	0	0.25	0	0	0.25	0	0	0.0835	0	0.2	0	0.1	0	0	0.2
0	0	8.1185	0	0	8.1185	0	0	1.4255	0	0	0.228	0	0	0.2205	0	0	0	0	0	0	0	0	0
0	3.24	1.383	0	3.24	1.383	0	1.912	0.9345	0	0.238	0	0	0.238	0	0	0	0	0	0	0	0	0.1	0
7.615	0	0.938	7.615	0	0.938	5.009	0	0.4605	0.571	0	0	0.5	0	0	0.4	0	0	0	0	0	0	0	0.3335
0	0.5035	0	0	0	0	0	0.5035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0
20.62	7.2975	0.91	20.62	7.2975	0.91	7.752	2.191	0.91	0.332	0.205	0.5	0.321	0.205	0.5	0.238	0.0835	0.5	0	0	0	0	0	0
0	11.108	3.8075	0	7.686	3.8075	0	7.3825	2.5045	0	0.5865	0.2855	0	0.653	0.25	0	0.363	0.2	0	0.1	0	0	0	0
0	0	0.4415	0	0	0	0	0	0.4415	0	0	0	0	0	0	0	0	0	0	0.875	0.5	0	0.875	0.5
1.015	14.6135	4.6565	1.015	14.6135	4.6565	1.015	6.4585	2.8325	0	0.2445	0.2555	0	0.2405	0.2445	0	0.291	0.2335	0	0.1	0.4285	0	0	0.4285
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5335	0.6	1	0.4335	0.6
0	4.784	17.6075	0	4.784	17.6075	0	2.388	6.067	0	0.25	0.371	0	0.25	0.3655	0	0.3335	0.2025	0	0	0	0	0	0
