1.04	0	0	1.04	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.333	0
0	1.746	11.545	0	1.746	11.545	0	1	0.955	0	1	0.939	0	0	0	0	0	0
11.073	11.143	0	6.428	8.944	0	0.5	0.673	0	0.667	0.639	0	0	0.2	0	0	0	0
23.18	0	0	23.18	0	0	0.514	0	0	0.506	0	0	0	0	0	0	0	0
11.143	0	11.073	8.944	0	6.428	0.673	0	0.5	0.639	0	0.667	0.2	0	0	0	0	0
2.753	0	0	0.968	0	0	0.333	0	0	0	0	0	0.4	0.4	0.2	0	0	0.2
17.028	2.766	0	15.955	2.766	0	0.404	0	0	0.458	0	0	0	0	0	0	0	0
0	0	0.918	0	0	0.918	0	0	0	0	0	0	0	0	0	0	0	0
2.783	0	0	1.775	0	0	0	0	0	0	0	0	0	0	0.333	0	0	0
0	29.227	1.015	0	29.227	1.015	0	0.489	0	0	0.481	0	0.2	0	0	0	0	0
4.892	16.145	18.363	4.892	10.397	18.363	0.7	0.529	0.585	0.7	0.636	0.55	0	0	0	0	0	0
0	2.772	0	0	1.771	0	0	0	0	0	0	0	0.2	0.333	0.8	0.2	0	1
0	0	1.251	0	0	1.251	0	0	0	0	0	0	0	0	0	0	0	0
3.716	0	0	1.821	0	0	1	0	0	1	0	0	0	0	0.333	0	0	0
0	2.753	0	0	0.968	0	0	0.333	0	0	0	0	0.2	0.4	1	0.2	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	1	0.2	1	1
31.524	1.766	0	23.028	1.766	0	0.409	1	0	0.573	1	0	0.2	0	0	0	0	0
1.82	0	3.505	1.82	0	2.605	1	0	0.667	1	0	1	0	0	0.429	0	0	0.857
0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1
0	0.857	29.227	0	0.857	29.227	0	0	0.489	0	0	0.481	0	0.6	0	0	0	0
4.476	0	0	4.476	0	0	0.4	0	0	0.4	0	0	0	0	0.2	0	0	0.2
0	0	1.957	0	0	1.018	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.667	0	0.2	0.667	1
0	0	3.716	0	0	1.821	0	0	1	0	0	1	0	0	0	0	0	0
0.973	50.897	0	0	50.897	0	0	0.266	0	0	0.246	0	0.4	0.5	1	0.2	0	1
0	1.876	0	0	1.876	0	0	0	0	0	0	0	0	0	0	0	0.667	0
0	15.024	0	0	12.028	0	0	0.283	0	0	0.372	0	1	0	0.5	1	0	0
0.914	0	0	0.914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.667	0	0	1	0.2	0.333
0	1.765	0	0	1.765	0	0	1	0	0	1	0	1	0	0	1	0	0
0.894	0	0.954	0.894	0	0.954	0	0	0	0	0	0	0	0	0.6	0	0	0.4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	14.906	0	0	14.906	0	0	0.615	0	0	0.604	0	0.2	0.444	0.333	0	0.333
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.25	0.889	0	1
7.428	0	8.797	5.531	0	7.81	0.536	0	0.75	1	0	0.75	0.5	1	0.5	0	1	0.875
0.954	0.894	0	0.954	0.894	0	0	0	0	0	0	0	0.6	0	0	0.4	0	0
3.589	2.674	0	3.589	2.674	0	0.5	0.667	0	0.5	0.667	0	0	0	0.2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0.2	0.75	1	0.2	0.75
1.757	1.97	0	1.757	1.038	0	1	0	0	1	0	0	0	0.4	0	0	0	0
1.834	0	0	0.869	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
0	0	7.715	0	0	7.715	0	0	0.5	0	0	0.5	0.667	0.25	0	1	0	0
0	4.488	1.904	0	1.759	0	0	0.1	0	0	1	0	0	0	0.889	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.333	0.2	0	0	0	0
2.766	0	17.028	2.766	0	15.955	0	0	0.404	0	0	0.458	0	0	0	0	0	0
0	0	1.765	0	0	1.765	0	0	1	0	0	1	0	0	0	1	0	0
19.412	2.95	12.315	17.302	0	6.799	0.579	0.333	0.641	0.581	0	0.81	0.6	0.2	0	0.2	0.2	0
0	0.869	0.993	0	0.869	0.993	0	0	0	0	0	0	0.2	0	0.2	0	0	0
5.642	8.028	3.806	3.83	6.098	0.856	0.733	0.556	0	0.833	0.571	0	0.4	0.111	0	0.4	0	0
19.11	10.13	23.207	19.11	8.334	23.207	0.521	0.673	0.569	0.505	0.778	0.557	0	0	0	0	0	0
8.606	0	0.962	8.606	0	0.962	0.5	0	0	0.5	0	0	0	0.6	0	0	0	0
0	5.51	2.734	0	5.51	2.734	0	0.267	0.667	0	0.267	0.667	0	0	0	0	0	0
0	2.466	0	0	2.466	0	0	1	0	0	1	0	0	0	0	0	0	0
1.894	1.018	0	0.857	1.018	0	0	0	0	0	0	0	0	0.2	0	0	0	0
6.189	2.678	0	3.934	1.803	0	0.8	0.333	0	1	1	0	0	0.6	0	0	0.4	0
0	0	7.3	0	0	6.4	0	0	0.524	0	0	0.667	0	1	0	0	1	0
32.35	0	0	32.35	0	0	0.329	0	0	0.32	0	0	0.222	0	0.25	0.111	0.25	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.857	0	0.2	0.857	0
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
