6.602	7.592	3.752	6.602	7.592	3.752	0.733	0.583	0.333	0.733	0.583	0.333	0	0	0	0	0	0.8
17.912	0	0.769	17.912	0	0.769	0.412	0	0	0.405	0	0	0.667	0	0.286	1	0	0.857
11.495	3.752	9.426	11.495	3.752	9.426	0.756	0.333	0.714	0.756	0.333	0.714	0	0	0.5	1	0.8	1
0	0	0	0	0	0	0	0	0	0	0	0	0.667	0.375	0	0.333	0.25	0
0.958	0	5.274	0.958	0	3.132	0	0	0.9	0	0	1	0	0.778	0	0	0.556	0
0	2.965	0	0	2.965	0	0	1	0	0	1	0	0	0	0	0	0	0
0	0	10.728	0	0	10.728	0	0	0.436	0	0	0.436	0	1	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.714	0.571	0	0.571	0.714
2.965	4.93	0	2.965	4.93	0	1	1	0	1	1	0	0	0	0	0	0	0
0	0	6.885	0	0	6.885	0	0	0.381	0	0	0.381	0.8	0	0.5	0.4	0	0.5
0	13.426	0	0	13.426	0	0	0.648	0	0	0.648	0	0.6	0	0.2	0.4	0	0
23.521	6.789	1.864	23.521	6.789	1.864	0.348	0.524	1	0.332	0.476	1	0.4	0.2	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.375	0.8	0.667	0.25	1	0.333
0	0	0	0	0	0	0	0	0	0	0	0	0.571	0	0.8	0.714	0	1
0	0	0.958	0	0	0.958	0	0	0	0	0	0	0.778	0.2	0	0.556	0.2	0
0	0	0	0	0	0	0	0	0	0	0	0	0.714	0.2	0	0.571	0	0
5.899	0	0	5.899	0	0	0.733	0	0	0.533	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.8	0	0	0.4
0	0	15.011	0	0	15.011	0	0	0.695	0	0	0.695	0.6	0.625	0	1	0.375	0
1.864	23.521	49.155	1.864	23.521	49.155	1	0.348	0.178	1	0.332	0.176	0	0.4	0.222	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0.333	0.333	1	0	0	1
0	0	8.565	0	0	8.565	0	0	0.889	0	0	0.889	0.6	0.4	0	1	0.2	0
0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.571	0	1	0.714	0
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.6	0.714	0	0.4	0.571
5.792	24.988	0	5.792	24.988	0	0.933	0.283	0	0.933	0.283	0	0	0	0.8	0	0	0.4
0	0.891	0	0	0.891	0	0	0	0	0	0	0	0	0	0	0.2	0	0
5.274	0.958	0	3.132	0.958	0	0.9	0	0	1	0	0	0	0	0.8	0	0	1
0	5.792	0	0	5.792	0	0	0.933	0	0	0.933	0	0.8	0	0.2	0.4	0	0
6.885	0	11.843	6.885	0	11.843	0.381	0	0.424	0.381	0	0.424	0.5	0.8	0.111	0.5	0.4	0
49.155	1.864	24.988	49.155	1.864	24.988	0.178	1	0.283	0.176	1	0.283	0.222	0	0	0	0	0
0	0	4.841	0	0	4.841	0	0	0.7	0	0	0.7	1	0	0.667	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0.333	0	1	0	0
0	5.899	0.891	0	5.899	0.891	0	0.733	0	0	0.533	0	0	1	0	0	0	0
0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1
0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.6	0.4	0.2	0.4	0.4
0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.4	1	0	0	0
0	2.861	0	0	2.861	0	0	1	0	0	1	0	0.667	0	0.25	0.333	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.375	0.6	1	0.5	1
0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.6	0.4	0	0.6	0
0	0	3.871	0	0	3.871	0	0	0.333	0	0	0.333	0.4	0.5	0	0	0.5	0
0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	1	0.25	0	0.556
0	0	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0.667	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.5	0.2	1	1	0.8
0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.286	0.25	0.556	0.857
0	3.835	0	0	3.835	0	0	0.333	0	0	0.333	0	0.2	0	0	1	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.857	0.6	0.6	1	1	0.4
2.845	0	0	2.845	0	0	0.333	0	0	0.333	0	0	0.125	0.333	0.2	0	0	0.2
0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.25	1	0.222	1
0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.857	0.4	0.4	1	0.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.75	0	0.6	0.25
0	0	0	0	0	0	0	0	0	0	0	0	0.375	0.2	0.4	0.5	0.8	1
0	2.845	0	0	2.845	0	0	0.333	0	0	0.333	0	0.2	0.125	0.5	0.2	0	0.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0.4	0.6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.8	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.429	0	0	0.143	0
0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.4	0.6	1	0.4	0
0	11.453	0	0	11.453	0	0	0.6	0	0	0.6	0	0.6	0	0	0.6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0.4	0.667	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.2	0.4	0.5	0.2	0
0	0	2.845	0	0	2.845	0	0	0.333	0	0	0.333	0.333	0	0.125	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.5	0.556	0.25	0.25
