0	0.81	1.046	3.59	0	0	2.424	2.704	4.607	0	0	0	0	0	0	0	1	1	0.9	0	0	1	1	0.9	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.333	0	0	0	0.505
0.837	0	0	0	0	1.877	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222	0.8	0	0.6	0	0.556	0.298	0.478
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419	0.478
0	3.768	3.949	0	11.306	0	7.609	6.905	0	15.604	0	0	0	0	0	0	0.964	0.952	0	0.6	0	0.964	0.952	0	0.6	0	0	0	0	0	0	0.5	0.2	0.2	0.2	0	0.125	0	0	0	0	0.587
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.2	0	0	0	0	0	0.2	0	0	0	0.631
0	0	1.683	0	5.45	0	0	1.683	0	6.343	0	0	0	0	0	0	0	1	0	0.714	0	0	1	0	0.714	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.2	0	0	0.398
2.72	5.536	0	0	0	3.626	7.364	0	0	0	0	0	0	0	0	1	0.964	0	0	0	1	0.964	0	0	0	0	0	0	0	0	0.333	0.2	0	0.625	0.4	0.333	0.2	0	0.125	0.2	0	0.467
0	11.306	16.619	3.949	6.31	0	15.604	21.894	6.905	6.31	0	0	0	0	0	0	0.6	0.491	0.952	0.905	0	0.6	0.491	0.952	0.905	0	0	0	0	0	0	0.2	0.429	0.2	0.2	0	0	1	0	0	0	0.572
2.695	0	0	0	3.708	3.546	0	0	0	3.708	0	0	0	0	0	1	0	0	0	0.833	1	0	0	0	0.833	0	0	0	0	0	0	0	0	0	0	0	0	0.333	0	0	0	0.289
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.333	0	0.2	0	0	1	0	0.275
4.013	1.645	0	5.176	13.775	6.629	2.479	0	8.061	18.411	0	0	0	0	0	0.857	1	0	0.964	0.507	0.857	1	0	0.964	0.507	0	0	0	0	0	0.667	0.2	0.2	0	0	0	0	0	0	0	0	0.382
0	14.609	5.176	7.469	1.645	0	17.333	8.061	9.183	2.479	0	0	0	0	0	0	0.625	0.964	0.583	1	0	0.625	0.964	0.583	1	0	0	0	0	0	0.333	0.333	0	0	0.2	0.556	0.667	0	0	0	0.298	0.631
0	0	0	3.512	0	0	0	0	4.518	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117	0.641
0	0.864	0	0	0	2.646	3.524	3.749	2.698	0.848	0	0	0	0	0	0	0.667	0.167	0	0	0	0.667	0.167	0	0	0	0	0	0	0	0.5	0.2	0	0	0	0	0.2	0	0	0	0.558	0.361
14.609	7.469	0	5.297	5.176	17.333	9.183	0	6.957	8.061	0	0	0	0	0	0.625	0.583	0	0.75	0.964	0.625	0.583	0	0.75	0.964	0	0	0	0	0	0.333	0	0.333	0	0	0.667	0	0.556	0	0	0.298	0.558
0	0	0.837	0	0	0	0	1.877	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0.6	0	0.353
11.306	3.949	0	0	16.619	15.604	6.905	0	0	21.894	0	0	0	0	0	0.6	0.952	0	0	0.491	0.6	0.952	0	0	0.491	0	0	0	0	0	0.2	0.2	0	0	0.429	0	0	0	0	1	0	0.553
0	4.671	5.846	0	0	0	6.638	6.697	0	0	0	0	0	0	0	0	0.81	0.857	0	0	0	0.81	0.857	0	0	0	0	0	0	0	0	0	0.2	0.5	0	0	0	0	0	0.2	0	0.590
3.949	0	11.306	3.768	0	6.905	0	15.604	7.609	0	0	0	0	0	0	0.952	0	0.6	0.964	0	0.952	0	0.6	0.964	0	0	0	0	0	0	0.2	0	0.2	0.5	0	0	0	0	0.125	0	0	0.539
0.81	3.59	0	28.326	1.046	2.424	4.607	0	30.176	2.704	0	0	0	0	0	1	0.9	0	0.257	1	1	0.9	0	0.257	1	0	0	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0.333	0	0.553
0	0	0	0	2.017	0	0	0	0	2.017	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.299	0.409
0	0	0	0.839	0	0	0	0	0.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.25	0	0	0	0	0	0	0.2	0	0.319
0	0	2.695	0	0	0	0	3.546	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.333	0	0.380
1.683	0	5.45	0	0	1.683	0	6.343	0	0	0	0	0	0	0	1	0	0.714	0	0	1	0	0.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358
0	2.72	0	5.536	0	0	3.626	0	7.364	0	0	0	0	0	0	0	1	0	0.964	0	0	1	0	0.964	0	0	0	0	0	0	0	0.333	0.4	0.2	0	0	0.333	0.2	0.2	0	0	0.753
0	0.839	0	0	0	0	0.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.25	0	0	0	0	0	0	0.368
