0.919	0.181	0.754	0.449	0.828	0.258	0.721
0.912	0.192	0.755	0.446	0.826	0.269	0.719
0.916	0.179	0.75	0.443	0.825	0.255	0.717
0.913	0.186	0.75	0.445	0.824	0.262	0.716
0.924	0.197	0.757	0.49	0.832	0.281	0.728
0.92	0.193	0.754	0.473	0.829	0.274	0.723
0.912	0.174	0.753	0.418	0.825	0.246	0.716
0.919	0.187	0.741	0.477	0.821	0.268	0.712
0.92	0.18	0.75	0.457	0.826	0.258	0.718
0.921	0.188	0.754	0.466	0.829	0.267	0.723
0.92	0.179	0.753	0.45	0.828	0.256	0.721
0.919	0.171	0.753	0.433	0.827	0.245	0.719
0.915	0.172	0.757	0.418	0.829	0.244	0.721
0.921	0.18	0.752	0.459	0.828	0.259	0.721
0.929	0.168	0.759	0.456	0.836	0.245	0.73
0.922	0.178	0.752	0.456	0.828	0.256	0.721
0.918	0.184	0.751	0.457	0.826	0.262	0.718
0.918	0.182	0.753	0.449	0.828	0.259	0.72
0.918	0.185	0.75	0.459	0.826	0.263	0.718
0.914	0.19	0.763	0.435	0.832	0.264	0.726
0.92	0.18	0.748	0.461	0.825	0.259	0.717
0.92	0.178	0.752	0.452	0.828	0.255	0.72
0.916	0.18	0.756	0.435	0.828	0.254	0.721
0.922	0.165	0.747	0.44	0.825	0.24	0.716
0.928	0.193	0.745	0.511	0.826	0.28	0.72
0.916	0.187	0.743	0.465	0.821	0.267	0.712
0.922	0.171	0.745	0.456	0.824	0.249	0.715
0.916	0.182	0.75	0.446	0.824	0.258	0.716
0.909	0.185	0.752	0.427	0.823	0.259	0.714
0.919	0.179	0.761	0.437	0.832	0.254	0.726
0.919	0.178	0.748	0.453	0.825	0.256	0.716
0.919	0.172	0.743	0.45	0.822	0.249	0.712
0.919	0.186	0.754	0.457	0.828	0.264	0.721
0.914	0.196	0.755	0.458	0.827	0.274	0.72
0.916	0.194	0.75	0.467	0.825	0.274	0.717
0.913	0.174	0.754	0.421	0.826	0.246	0.717
0.917	0.18	0.751	0.445	0.826	0.256	0.717
0.924	0.19	0.756	0.478	0.832	0.272	0.727
0.917	0.172	0.752	0.431	0.827	0.246	0.718
0.912	0.19	0.759	0.436	0.828	0.265	0.722
0.913	0.182	0.757	0.429	0.827	0.256	0.72
0.927	0.169	0.751	0.462	0.83	0.248	0.722
0.912	0.183	0.745	0.444	0.82	0.259	0.71
0.915	0.18	0.751	0.439	0.825	0.255	0.716
0.921	0.168	0.743	0.448	0.822	0.244	0.712
0.922	0.187	0.757	0.466	0.832	0.267	0.726
0.915	0.193	0.75	0.462	0.824	0.272	0.717
0.921	0.173	0.748	0.452	0.825	0.25	0.717
0.92	0.186	0.748	0.469	0.825	0.266	0.717
0.915	0.199	0.754	0.465	0.827	0.279	0.721
0.919	0.168	0.749	0.435	0.826	0.242	0.717
0.92	0.175	0.752	0.445	0.827	0.251	0.719
0.917	0.189	0.751	0.461	0.826	0.268	0.719
0.915	0.171	0.746	0.432	0.822	0.245	0.712
0.914	0.173	0.751	0.425	0.824	0.246	0.715
0.917	0.171	0.744	0.441	0.822	0.247	0.712
0.918	0.17	0.758	0.422	0.83	0.243	0.722
0.919	0.18	0.756	0.447	0.83	0.257	0.723
0.924	0.186	0.766	0.459	0.838	0.265	0.734
0.918	0.171	0.75	0.435	0.825	0.246	0.716
0.923	0.171	0.756	0.446	0.831	0.248	0.724
0.915	0.185	0.756	0.44	0.828	0.26	0.721
0.92	0.18	0.76	0.444	0.832	0.256	0.726
0.916	0.185	0.75	0.452	0.824	0.263	0.716
0.911	0.181	0.755	0.424	0.825	0.254	0.717
0.92	0.175	0.756	0.439	0.83	0.25	0.722
0.919	0.18	0.747	0.457	0.824	0.258	0.716
0.918	0.185	0.757	0.45	0.83	0.262	0.723
0.921	0.164	0.742	0.444	0.822	0.239	0.712
0.916	0.18	0.739	0.459	0.818	0.258	0.708
0.917	0.173	0.749	0.437	0.825	0.248	0.716
0.919	0.196	0.751	0.477	0.826	0.277	0.72
0.915	0.163	0.744	0.419	0.821	0.235	0.71
0.917	0.172	0.754	0.429	0.828	0.245	0.719
0.917	0.19	0.759	0.45	0.83	0.267	0.725
0.92	0.16	0.758	0.41	0.831	0.23	0.723
0.92	0.18	0.744	0.464	0.822	0.26	0.714
0.924	0.172	0.757	0.448	0.832	0.249	0.725
0.922	0.166	0.747	0.444	0.825	0.242	0.716
0.912	0.177	0.758	0.415	0.828	0.249	0.72
0.919	0.179	0.741	0.464	0.82	0.258	0.711
0.917	0.181	0.753	0.447	0.827	0.258	0.719
0.924	0.181	0.749	0.472	0.827	0.262	0.72
0.915	0.181	0.758	0.432	0.829	0.255	0.722
0.922	0.192	0.751	0.482	0.828	0.274	0.722
