0.925	0.185	0.757	0.474	0.833	0.266
0.928	0.183	0.758	0.481	0.835	0.265
0.924	0.186	0.76	0.466	0.834	0.266
0.927	0.193	0.758	0.49	0.834	0.276
0.926	0.173	0.753	0.463	0.831	0.252
0.924	0.187	0.758	0.472	0.833	0.268
0.924	0.179	0.75	0.47	0.828	0.259
0.926	0.196	0.762	0.489	0.836	0.28
0.923	0.193	0.758	0.477	0.833	0.274
0.927	0.189	0.756	0.49	0.833	0.273
0.926	0.185	0.762	0.471	0.836	0.266
0.928	0.189	0.759	0.487	0.835	0.272
0.929	0.178	0.75	0.488	0.83	0.261
0.93	0.183	0.761	0.484	0.837	0.265
0.929	0.184	0.76	0.485	0.836	0.267
0.927	0.19	0.76	0.484	0.835	0.273
0.927	0.179	0.752	0.479	0.831	0.261
0.926	0.194	0.761	0.485	0.835	0.278
0.924	0.193	0.755	0.484	0.831	0.276
0.927	0.188	0.758	0.483	0.834	0.271
0.925	0.196	0.766	0.48	0.838	0.278
0.926	0.18	0.752	0.476	0.83	0.261
0.929	0.19	0.761	0.492	0.837	0.274
0.93	0.177	0.759	0.475	0.836	0.258
0.926	0.193	0.765	0.481	0.838	0.276
0.925	0.191	0.761	0.477	0.835	0.273
0.927	0.182	0.75	0.486	0.83	0.264
0.925	0.187	0.761	0.47	0.835	0.267
0.932	0.183	0.759	0.492	0.837	0.267
0.929	0.179	0.76	0.474	0.836	0.26
0.924	0.195	0.759	0.484	0.833	0.278
0.932	0.18	0.753	0.495	0.833	0.264
0.926	0.189	0.76	0.481	0.835	0.271
0.926	0.182	0.753	0.476	0.831	0.263
0.925	0.19	0.759	0.476	0.834	0.271
0.921	0.178	0.755	0.451	0.83	0.255
0.926	0.196	0.76	0.492	0.835	0.28
0.931	0.189	0.764	0.494	0.839	0.274
0.929	0.19	0.756	0.497	0.833	0.275
0.928	0.181	0.756	0.479	0.834	0.262
0.93	0.19	0.757	0.502	0.835	0.276
0.924	0.183	0.756	0.469	0.832	0.263
0.931	0.182	0.758	0.491	0.836	0.265
0.927	0.196	0.765	0.488	0.838	0.279
0.928	0.185	0.76	0.482	0.835	0.268
0.925	0.195	0.762	0.482	0.835	0.278
0.922	0.194	0.756	0.48	0.831	0.276
0.927	0.195	0.761	0.492	0.836	0.279
0.928	0.2	0.759	0.504	0.835	0.286
0.927	0.182	0.76	0.471	0.835	0.262
0.925	0.191	0.762	0.477	0.836	0.273
0.923	0.19	0.757	0.476	0.832	0.272
0.924	0.17	0.749	0.455	0.827	0.248
0.927	0.183	0.754	0.482	0.832	0.265
0.93	0.175	0.756	0.478	0.834	0.257
0.931	0.185	0.754	0.498	0.833	0.27
0.922	0.186	0.75	0.473	0.827	0.267
0.927	0.186	0.759	0.481	0.835	0.268
0.925	0.181	0.763	0.459	0.836	0.259
0.926	0.182	0.756	0.474	0.832	0.263
0.927	0.173	0.752	0.466	0.83	0.252
0.929	0.179	0.756	0.479	0.834	0.26
0.928	0.188	0.762	0.485	0.837	0.271
0.926	0.194	0.762	0.485	0.836	0.277
0.928	0.187	0.76	0.482	0.836	0.27
0.929	0.191	0.761	0.492	0.837	0.275
0.925	0.183	0.756	0.471	0.832	0.264
0.929	0.182	0.758	0.483	0.835	0.265
0.922	0.184	0.758	0.459	0.832	0.262
0.927	0.187	0.762	0.479	0.836	0.269
0.925	0.193	0.765	0.476	0.837	0.274
0.926	0.187	0.767	0.468	0.839	0.267
0.922	0.19	0.758	0.471	0.832	0.271
0.93	0.18	0.758	0.48	0.835	0.261
0.922	0.193	0.761	0.47	0.833	0.274
0.928	0.179	0.757	0.475	0.834	0.26
0.928	0.181	0.756	0.479	0.834	0.262
0.928	0.187	0.76	0.481	0.835	0.269
0.928	0.184	0.758	0.483	0.835	0.267
0.923	0.19	0.757	0.475	0.832	0.271
0.922	0.186	0.757	0.465	0.831	0.266
0.927	0.192	0.764	0.483	0.838	0.274
