0.898	0.136	0.793	0.264	0.842	0.179	0.735
0.898	0.119	0.785	0.246	0.838	0.16	0.728
0.894	0.132	0.787	0.259	0.837	0.175	0.728
0.908	0.154	0.811	0.296	0.857	0.203	0.757
0.893	0.12	0.789	0.235	0.838	0.159	0.728
0.894	0.123	0.795	0.234	0.842	0.161	0.734
0.891	0.13	0.798	0.235	0.842	0.167	0.734
0.898	0.131	0.797	0.254	0.845	0.173	0.739
0.899	0.131	0.792	0.261	0.842	0.175	0.735
0.894	0.124	0.792	0.238	0.84	0.163	0.731
0.894	0.129	0.798	0.241	0.843	0.168	0.736
0.894	0.114	0.793	0.22	0.84	0.15	0.731
0.9	0.125	0.786	0.26	0.839	0.169	0.731
0.902	0.113	0.791	0.237	0.843	0.153	0.735
0.894	0.141	0.797	0.26	0.843	0.182	0.736
0.899	0.113	0.801	0.22	0.847	0.149	0.741
0.899	0.125	0.797	0.247	0.845	0.166	0.739
0.902	0.126	0.797	0.253	0.846	0.168	0.74
0.903	0.129	0.8	0.257	0.848	0.172	0.743
0.901	0.128	0.792	0.261	0.843	0.172	0.736
0.897	0.117	0.794	0.229	0.842	0.155	0.734
0.896	0.126	0.801	0.236	0.846	0.164	0.74
0.902	0.134	0.792	0.271	0.844	0.179	0.737
0.903	0.149	0.806	0.281	0.852	0.195	0.75
0.905	0.125	0.804	0.249	0.851	0.167	0.748
0.897	0.141	0.793	0.273	0.842	0.186	0.736
0.903	0.135	0.798	0.268	0.847	0.18	0.743
0.899	0.124	0.792	0.247	0.842	0.165	0.734
0.895	0.131	0.787	0.256	0.837	0.173	0.728
0.9	0.119	0.795	0.239	0.844	0.159	0.736
0.896	0.117	0.805	0.217	0.848	0.152	0.742
0.889	0.131	0.788	0.245	0.835	0.171	0.725
0.903	0.142	0.798	0.28	0.847	0.189	0.743
0.887	0.115	0.794	0.21	0.838	0.149	0.728
0.904	0.125	0.788	0.266	0.842	0.17	0.735
0.893	0.103	0.792	0.202	0.839	0.137	0.729
0.89	0.127	0.8	0.228	0.842	0.163	0.735
