
mm3_more	0.913021021021	0.207777777778	0.798554554555	0.409840840841	0.851942942943	0.275664664665	0.754153153153	98	8
mm3	0.914938938939	0.206794794795	0.785523523524	0.433572572573	0.845283283283	0.279936936937	0.745346346346	127	8
mm3_cons_more	0.916244244244	0.193574574575	0.744965965966	0.473441441441	0.821772772773	0.274731731732	0.71385985986	98	9
mm3_cons	0.914587587588	0.196332332332	0.762205205205	0.4494004004	0.83147047047	0.273196196196	0.726398398398	70	9
mm3_cons_solv_more	0.916058058058	0.197506506507	0.757309309309	0.462600600601	0.829139139139	0.276724724725	0.723591591592	124	10
mm3_cons_solv	0.915794794795	0.207817817818	0.78012012012	0.445686686687	0.842517517518	0.283386386386	0.741786786787	110	10
mm3_3_more	0.90812012012	0.192854854855	0.793535535536	0.380604604605	0.846957957958	0.255912912913	0.746157157157	91	24
mm3_3	0.906966966967	0.197661661662	0.815560560561	0.351998998999	0.858821821822	0.253086086086	0.76255955956	89	24
mm3_3_cons_more	0.907001001001	0.188228228228	0.794353353353	0.369259259259	0.846928928929	0.249263263263	0.745730730731	85	25
mm3_3_cons	0.905607607608	0.18504004004	0.798754754755	0.354349349349	0.84881981982	0.243044044044	0.74798998999	123	25
mm3_3_cons_solv_more	0.91056956957	0.184766766767	0.763322322322	0.417112112112	0.830454454454	0.256014014014	0.72386986987	124	26
mm3_3_cons_solv	0.906696696697	0.200297297297	0.820696696697	0.347158158158	0.861535535536	0.253940940941	0.766456456456	124	26
mm3_5_more	0.899750750751	0.192932932933	0.859383383383	0.259830830831	0.879106106106	0.221329329329	0.790727727728	116	40
mm3_5	0.900733733734	0.184850850851	0.837843843844	0.284850850851	0.868159159159	0.224127127127	0.774616616617	122	40
