0.891	0.254	0.841	0.346	0.865	0.293
0.895	0.264	0.839	0.37	0.866	0.308
0.895	0.252	0.842	0.35	0.868	0.293
0.881	0.212	0.836	0.28	0.858	0.241
0.886	0.245	0.845	0.315	0.865	0.276
0.899	0.232	0.843	0.335	0.87	0.275
0.897	0.236	0.86	0.305	0.878	0.266
0.894	0.242	0.844	0.331	0.868	0.28
0.888	0.282	0.85	0.356	0.869	0.315
0.894	0.241	0.843	0.331	0.868	0.279
0.879	0.259	0.846	0.318	0.862	0.286
0.888	0.234	0.834	0.326	0.86	0.273
0.874	0.229	0.835	0.289	0.854	0.255
0.89	0.257	0.84	0.348	0.865	0.296
0.886	0.26	0.839	0.342	0.862	0.295
0.891	0.251	0.843	0.337	0.866	0.288
0.9	0.245	0.837	0.363	0.867	0.292
0.876	0.279	0.836	0.35	0.856	0.31
0.892	0.269	0.857	0.337	0.874	0.299
0.886	0.265	0.841	0.346	0.863	0.3
0.893	0.213	0.83	0.316	0.86	0.255
0.885	0.27	0.847	0.339	0.865	0.3
0.891	0.25	0.834	0.352	0.862	0.292
0.878	0.22	0.843	0.274	0.861	0.244
0.889	0.227	0.836	0.315	0.861	0.264
0.891	0.271	0.844	0.36	0.867	0.309
0.898	0.252	0.829	0.379	0.862	0.302
0.898	0.25	0.827	0.379	0.861	0.301
0.896	0.253	0.846	0.349	0.87	0.293
0.886	0.254	0.834	0.344	0.859	0.292
0.894	0.257	0.83	0.374	0.861	0.304
0.891	0.253	0.85	0.328	0.87	0.286
0.898	0.203	0.834	0.309	0.865	0.245
0.893	0.246	0.829	0.361	0.86	0.293
0.885	0.261	0.855	0.316	0.87	0.286
0.893	0.272	0.847	0.359	0.869	0.309
0.887	0.225	0.84	0.303	0.863	0.258
0.892	0.259	0.848	0.343	0.869	0.295
0.888	0.247	0.842	0.328	0.864	0.282
0.875	0.248	0.846	0.294	0.86	0.269
0.897	0.215	0.839	0.315	0.867	0.256
0.896	0.283	0.847	0.38	0.871	0.325
0.877	0.239	0.839	0.301	0.858	0.266
0.887	0.253	0.836	0.342	0.861	0.291
0.898	0.242	0.837	0.355	0.866	0.288
0.895	0.227	0.84	0.322	0.867	0.266
0.889	0.251	0.848	0.324	0.868	0.283
0.902	0.224	0.838	0.34	0.869	0.27
0.881	0.257	0.841	0.325	0.861	0.287
0.891	0.258	0.841	0.35	0.866	0.297
0.889	0.228	0.831	0.324	0.859	0.268
0.882	0.219	0.833	0.295	0.857	0.251
0.876	0.234	0.841	0.29	0.858	0.259
0.894	0.224	0.837	0.322	0.865	0.264
0.895	0.23	0.837	0.331	0.865	0.271
0.888	0.22	0.829	0.315	0.857	0.259
0.891	0.239	0.841	0.326	0.865	0.276
0.898	0.248	0.839	0.358	0.868	0.293
0.888	0.241	0.834	0.333	0.86	0.28
0.899	0.248	0.834	0.37	0.866	0.297
0.892	0.24	0.859	0.301	0.875	0.267
0.892	0.237	0.828	0.346	0.859	0.281
0.89	0.224	0.837	0.312	0.863	0.261
0.886	0.229	0.826	0.328	0.855	0.27
0.889	0.237	0.845	0.313	0.866	0.27
0.882	0.225	0.831	0.308	0.856	0.26
0.883	0.256	0.836	0.339	0.859	0.291
0.9	0.265	0.836	0.39	0.867	0.316
0.889	0.281	0.842	0.37	0.865	0.319
0.889	0.261	0.846	0.341	0.867	0.296
0.897	0.288	0.852	0.377	0.874	0.326
0.893	0.258	0.844	0.348	0.868	0.296
0.882	0.246	0.846	0.307	0.863	0.273
0.902	0.262	0.849	0.368	0.875	0.307
0.886	0.261	0.84	0.342	0.862	0.296
0.894	0.243	0.837	0.345	0.864	0.285
0.881	0.231	0.844	0.29	0.862	0.257
0.891	0.231	0.849	0.305	0.87	0.263
0.884	0.234	0.847	0.295	0.865	0.261
0.887	0.253	0.839	0.339	0.863	0.29
0.888	0.217	0.833	0.307	0.86	0.254
0.888	0.261	0.835	0.356	0.861	0.301
0.888	0.264	0.848	0.339	0.868	0.296
0.896	0.236	0.845	0.327	0.87	0.275
0.891	0.26	0.843	0.348	0.866	0.298
0.89	0.295	0.852	0.37	0.871	0.328
0.889	0.245	0.838	0.335	0.863	0.283
0.897	0.26	0.854	0.345	0.875	0.296
0.89	0.264	0.841	0.355	0.865	0.303
0.903	0.246	0.836	0.375	0.868	0.297
0.88	0.224	0.835	0.296	0.857	0.255
0.888	0.241	0.842	0.32	0.865	0.275
0.888	0.25	0.834	0.344	0.86	0.29
0.882	0.207	0.836	0.278	0.858	0.238
0.899	0.274	0.843	0.385	0.87	0.32
