0.923	0.185	0.756	0.468	0.831	0.266	0.725
0.914	0.174	0.751	0.426	0.824	0.248	0.715
0.922	0.174	0.746	0.457	0.825	0.252	0.716
0.917	0.183	0.748	0.456	0.824	0.261	0.716
0.923	0.176	0.745	0.467	0.825	0.255	0.716
0.924	0.166	0.744	0.456	0.824	0.243	0.715
0.92	0.178	0.762	0.438	0.833	0.253	0.728
0.91	0.195	0.754	0.445	0.825	0.271	0.717
0.923	0.175	0.749	0.458	0.827	0.253	0.719
0.923	0.192	0.764	0.469	0.836	0.272	0.732
0.917	0.177	0.753	0.437	0.827	0.252	0.719
0.915	0.189	0.752	0.453	0.825	0.267	0.718
0.918	0.183	0.747	0.461	0.824	0.262	0.715
0.922	0.174	0.755	0.447	0.831	0.251	0.724
0.922	0.186	0.749	0.475	0.826	0.267	0.719
0.92	0.189	0.745	0.478	0.823	0.271	0.716
0.923	0.182	0.742	0.48	0.823	0.264	0.714
0.919	0.197	0.748	0.485	0.825	0.28	0.718
0.928	0.2	0.751	0.516	0.83	0.288	0.725
0.919	0.212	0.754	0.498	0.829	0.297	0.724
0.918	0.177	0.749	0.445	0.825	0.253	0.717
0.927	0.191	0.751	0.496	0.83	0.276	0.724
0.921	0.207	0.759	0.493	0.832	0.292	0.729
0.913	0.173	0.754	0.418	0.826	0.245	0.717
0.918	0.176	0.749	0.445	0.825	0.252	0.717
0.924	0.184	0.75	0.476	0.828	0.265	0.721
0.914	0.183	0.745	0.448	0.821	0.26	0.712
0.919	0.189	0.751	0.468	0.827	0.269	0.72
0.92	0.17	0.745	0.444	0.824	0.245	0.714
0.921	0.18	0.747	0.465	0.825	0.259	0.717
0.92	0.189	0.752	0.468	0.827	0.269	0.721
0.925	0.191	0.746	0.497	0.826	0.276	0.719
0.919	0.184	0.752	0.459	0.827	0.263	0.72
0.913	0.188	0.746	0.453	0.821	0.266	0.713
0.92	0.156	0.748	0.415	0.825	0.226	0.715
0.923	0.188	0.747	0.484	0.826	0.271	0.719
0.918	0.194	0.753	0.471	0.827	0.274	0.721
0.92	0.196	0.751	0.483	0.827	0.279	0.721
0.921	0.206	0.759	0.49	0.832	0.29	0.728
0.92	0.172	0.751	0.442	0.827	0.247	0.719
0.921	0.171	0.74	0.459	0.821	0.25	0.711
0.922	0.194	0.761	0.473	0.834	0.275	0.73
0.924	0.191	0.746	0.494	0.826	0.275	0.719
0.919	0.199	0.754	0.477	0.829	0.281	0.723
