0.925	0.177	0.749	0.472	0.828	0.258	0.72
0.926	0.196	0.741	0.514	0.823	0.283	0.716
0.927	0.21	0.752	0.525	0.83	0.3	0.726
0.929	0.19	0.739	0.522	0.823	0.279	0.716
0.929	0.19	0.75	0.505	0.83	0.276	0.725
0.924	0.185	0.744	0.487	0.824	0.268	0.717
0.927	0.192	0.749	0.501	0.829	0.278	0.723
0.925	0.181	0.744	0.483	0.824	0.263	0.716
0.929	0.177	0.742	0.494	0.825	0.261	0.717
0.922	0.198	0.749	0.496	0.827	0.283	0.721
0.926	0.19	0.741	0.506	0.823	0.277	0.716
0.923	0.196	0.746	0.499	0.825	0.281	0.719
0.918	0.193	0.745	0.479	0.822	0.275	0.715
0.921	0.178	0.74	0.469	0.82	0.258	0.711
0.928	0.179	0.739	0.495	0.823	0.263	0.714
0.916	0.175	0.737	0.451	0.817	0.252	0.706
0.925	0.192	0.742	0.506	0.824	0.278	0.717
0.929	0.191	0.753	0.505	0.832	0.278	0.727
0.923	0.188	0.743	0.49	0.823	0.272	0.716
0.919	0.183	0.742	0.468	0.821	0.263	0.712
0.928	0.194	0.749	0.508	0.829	0.281	0.724
0.924	0.18	0.735	0.491	0.819	0.263	0.709
0.922	0.188	0.745	0.485	0.824	0.271	0.717
0.922	0.184	0.745	0.477	0.824	0.266	0.716
0.926	0.191	0.749	0.496	0.828	0.276	0.722
0.922	0.207	0.745	0.515	0.824	0.295	0.718
0.919	0.179	0.737	0.469	0.818	0.26	0.708
0.924	0.189	0.74	0.5	0.822	0.274	0.714
0.924	0.177	0.75	0.465	0.828	0.257	0.72
0.922	0.201	0.75	0.496	0.827	0.286	0.722
0.927	0.188	0.747	0.499	0.828	0.273	0.721
0.917	0.19	0.745	0.469	0.822	0.27	0.713
0.931	0.179	0.745	0.5	0.828	0.263	0.721
0.922	0.192	0.742	0.495	0.822	0.277	0.715
0.916	0.188	0.741	0.47	0.82	0.268	0.711
0.924	0.184	0.742	0.489	0.823	0.268	0.715
0.925	0.194	0.747	0.501	0.826	0.28	0.72
0.927	0.174	0.74	0.484	0.823	0.256	0.713
0.927	0.186	0.738	0.509	0.822	0.273	0.714
0.925	0.19	0.756	0.48	0.832	0.272	0.727
0.923	0.186	0.741	0.488	0.822	0.27	0.714
0.927	0.193	0.739	0.518	0.822	0.281	0.715
0.917	0.195	0.739	0.485	0.818	0.278	0.71
0.928	0.193	0.737	0.525	0.821	0.282	0.714
0.926	0.206	0.755	0.515	0.832	0.294	0.728
0.929	0.187	0.753	0.496	0.832	0.272	0.727
0.926	0.189	0.743	0.503	0.824	0.275	0.717
0.921	0.198	0.746	0.494	0.824	0.283	0.717
0.922	0.206	0.741	0.517	0.822	0.295	0.716
0.923	0.173	0.737	0.473	0.819	0.253	0.709
0.925	0.197	0.758	0.493	0.833	0.282	0.729
0.923	0.179	0.746	0.469	0.825	0.259	0.717
0.928	0.179	0.743	0.493	0.825	0.263	0.717
0.922	0.192	0.746	0.488	0.824	0.275	0.717
0.931	0.18	0.745	0.505	0.828	0.265	0.721
0.918	0.201	0.744	0.494	0.822	0.286	0.715
0.921	0.203	0.752	0.495	0.828	0.288	0.723
0.925	0.197	0.747	0.507	0.826	0.284	0.721
0.925	0.187	0.751	0.483	0.829	0.269	0.723
0.921	0.187	0.737	0.489	0.818	0.271	0.709
0.92	0.181	0.73	0.485	0.814	0.264	0.703
0.926	0.196	0.745	0.51	0.826	0.283	0.719
0.922	0.182	0.753	0.464	0.829	0.261	0.723
0.922	0.19	0.746	0.485	0.824	0.273	0.717
0.92	0.189	0.739	0.486	0.82	0.272	0.711
0.928	0.187	0.742	0.508	0.824	0.274	0.717
0.926	0.192	0.759	0.486	0.834	0.276	0.73
0.922	0.191	0.738	0.5	0.82	0.277	0.712
0.922	0.183	0.739	0.484	0.821	0.266	0.712
0.924	0.193	0.756	0.483	0.832	0.276	0.727
0.927	0.187	0.746	0.498	0.826	0.272	0.72
0.928	0.195	0.746	0.515	0.827	0.282	0.721
0.927	0.21	0.762	0.512	0.837	0.297	0.735
0.927	0.191	0.746	0.506	0.827	0.278	0.721
0.927	0.186	0.743	0.501	0.825	0.271	0.717
0.926	0.185	0.741	0.497	0.823	0.27	0.715
0.923	0.192	0.745	0.492	0.824	0.276	0.717
0.925	0.192	0.748	0.495	0.827	0.276	0.721
0.923	0.206	0.761	0.493	0.834	0.291	0.731
0.923	0.192	0.747	0.49	0.826	0.276	0.719
0.922	0.194	0.739	0.501	0.821	0.28	0.713
0.928	0.179	0.75	0.487	0.829	0.262	0.723
0.925	0.185	0.745	0.492	0.825	0.269	0.718
0.924	0.172	0.738	0.473	0.82	0.252	0.71
0.92	0.176	0.736	0.469	0.818	0.256	0.707
0.925	0.191	0.75	0.493	0.828	0.276	0.723
0.924	0.192	0.745	0.499	0.825	0.278	0.718
