0.909	0.152	0.688	0.447	0.783	0.227	0.661
0.908	0.137	0.683	0.422	0.779	0.207	0.655
0.911	0.142	0.691	0.429	0.786	0.213	0.663
0.909	0.159	0.693	0.453	0.786	0.235	0.666
0.906	0.137	0.691	0.405	0.784	0.204	0.66
0.914	0.136	0.697	0.421	0.791	0.206	0.669
0.906	0.139	0.695	0.405	0.786	0.207	0.663
0.918	0.139	0.687	0.452	0.786	0.213	0.664
0.913	0.141	0.691	0.435	0.786	0.213	0.664
0.909	0.144	0.693	0.428	0.786	0.216	0.664
0.912	0.151	0.695	0.447	0.789	0.226	0.669
0.91	0.142	0.7	0.417	0.791	0.212	0.67
0.906	0.155	0.7	0.431	0.79	0.228	0.669
0.912	0.151	0.701	0.44	0.793	0.225	0.673
0.915	0.137	0.69	0.433	0.786	0.208	0.663
0.912	0.124	0.693	0.392	0.788	0.188	0.663
0.91	0.131	0.694	0.403	0.788	0.198	0.664
0.91	0.144	0.694	0.427	0.788	0.215	0.666
0.908	0.136	0.693	0.407	0.786	0.204	0.663
0.902	0.147	0.691	0.415	0.782	0.218	0.66
0.902	0.128	0.703	0.364	0.79	0.19	0.667
0.904	0.132	0.689	0.393	0.782	0.198	0.657
0.905	0.146	0.69	0.423	0.783	0.217	0.661
0.906	0.137	0.694	0.403	0.786	0.204	0.662
0.915	0.152	0.688	0.469	0.785	0.23	0.664
0.905	0.138	0.695	0.402	0.786	0.205	0.663
0.908	0.157	0.693	0.45	0.786	0.233	0.666
0.907	0.146	0.69	0.428	0.784	0.218	0.661
0.911	0.15	0.688	0.45	0.784	0.225	0.662
0.915	0.137	0.691	0.432	0.787	0.208	0.664
0.906	0.142	0.693	0.414	0.785	0.211	0.662
0.915	0.136	0.687	0.435	0.785	0.207	0.661
0.912	0.147	0.689	0.445	0.785	0.221	0.663
0.915	0.142	0.7	0.433	0.793	0.213	0.672
0.904	0.158	0.69	0.443	0.782	0.233	0.661
0.914	0.148	0.695	0.445	0.79	0.222	0.669
0.912	0.14	0.7	0.422	0.792	0.211	0.671
0.907	0.159	0.698	0.443	0.789	0.234	0.669
0.92	0.15	0.696	0.47	0.792	0.227	0.673
0.907	0.15	0.697	0.428	0.788	0.223	0.667
0.912	0.143	0.698	0.428	0.791	0.214	0.67
0.913	0.15	0.694	0.449	0.789	0.225	0.668
0.912	0.15	0.698	0.441	0.79	0.223	0.67
0.91	0.146	0.693	0.435	0.787	0.219	0.665
0.916	0.148	0.705	0.441	0.797	0.222	0.677
0.912	0.155	0.698	0.45	0.791	0.23	0.671
0.909	0.15	0.686	0.445	0.782	0.224	0.659
0.902	0.146	0.685	0.421	0.779	0.217	0.655
0.904	0.137	0.685	0.409	0.779	0.206	0.654
0.915	0.143	0.688	0.448	0.785	0.216	0.663
0.907	0.153	0.69	0.442	0.784	0.227	0.662
0.904	0.137	0.692	0.4	0.784	0.204	0.66
0.913	0.143	0.693	0.438	0.788	0.216	0.666
0.911	0.154	0.696	0.449	0.789	0.229	0.669
0.909	0.142	0.695	0.421	0.788	0.212	0.665
0.914	0.146	0.69	0.449	0.786	0.22	0.665
0.907	0.132	0.688	0.403	0.782	0.198	0.658
0.909	0.152	0.702	0.432	0.792	0.225	0.672
0.908	0.15	0.687	0.443	0.782	0.224	0.66
0.907	0.163	0.692	0.459	0.785	0.241	0.665
0.907	0.139	0.685	0.421	0.781	0.209	0.657
0.908	0.149	0.701	0.424	0.791	0.221	0.67
0.916	0.142	0.692	0.448	0.789	0.216	0.667
0.909	0.145	0.7	0.419	0.791	0.215	0.67
0.913	0.127	0.685	0.414	0.783	0.195	0.658
0.912	0.146	0.691	0.44	0.786	0.219	0.664
0.911	0.165	0.69	0.477	0.785	0.245	0.666
0.899	0.131	0.693	0.372	0.783	0.194	0.657
0.909	0.133	0.696	0.4	0.789	0.199	0.665
0.907	0.142	0.688	0.424	0.783	0.213	0.659
0.911	0.153	0.701	0.442	0.792	0.227	0.672
0.914	0.152	0.689	0.461	0.785	0.229	0.664
0.913	0.151	0.694	0.452	0.789	0.227	0.668
0.913	0.152	0.71	0.434	0.799	0.225	0.681
0.917	0.154	0.695	0.468	0.79	0.232	0.671
0.912	0.142	0.691	0.434	0.786	0.213	0.664
0.912	0.153	0.689	0.458	0.785	0.23	0.664
0.916	0.161	0.698	0.475	0.792	0.24	0.674
0.906	0.142	0.681	0.429	0.778	0.214	0.653
0.9	0.147	0.677	0.425	0.773	0.218	0.648
0.908	0.148	0.688	0.438	0.783	0.221	0.66
0.908	0.144	0.691	0.427	0.785	0.216	0.663
0.915	0.137	0.706	0.415	0.797	0.207	0.677
0.907	0.143	0.688	0.427	0.782	0.214	0.659
0.904	0.147	0.697	0.415	0.787	0.217	0.666
0.906	0.141	0.689	0.416	0.783	0.211	0.66
0.907	0.154	0.699	0.435	0.79	0.228	0.67
0.903	0.135	0.687	0.399	0.78	0.202	0.655
0.909	0.159	0.69	0.458	0.784	0.236	0.663
0.911	0.135	0.691	0.415	0.786	0.204	0.662
0.917	0.146	0.695	0.451	0.791	0.22	0.67
0.904	0.136	0.694	0.396	0.785	0.203	0.662
0.915	0.156	0.691	0.471	0.788	0.235	0.667
0.919	0.132	0.7	0.425	0.795	0.202	0.673
0.912	0.137	0.687	0.428	0.784	0.208	0.66
0.908	0.14	0.693	0.416	0.786	0.209	0.663
0.915	0.147	0.688	0.457	0.786	0.223	0.664
0.903	0.137	0.697	0.393	0.787	0.204	0.664
0.911	0.145	0.686	0.443	0.783	0.218	0.66
0.909	0.152	0.696	0.438	0.789	0.225	0.668
0.908	0.131	0.696	0.394	0.788	0.197	0.664
0.903	0.157	0.702	0.426	0.79	0.23	0.67
0.915	0.158	0.702	0.463	0.795	0.236	0.676
0.9	0.147	0.701	0.398	0.788	0.215	0.666
0.908	0.155	0.691	0.446	0.784	0.23	0.663
0.92	0.168	0.704	0.495	0.797	0.251	0.681
0.903	0.156	0.7	0.426	0.789	0.229	0.669
0.91	0.136	0.694	0.413	0.787	0.205	0.664
0.915	0.154	0.698	0.459	0.792	0.231	0.673
0.904	0.144	0.696	0.411	0.787	0.214	0.664
0.903	0.153	0.705	0.414	0.792	0.223	0.672
0.913	0.139	0.704	0.416	0.795	0.209	0.674
0.909	0.146	0.687	0.439	0.782	0.219	0.66
0.917	0.141	0.698	0.438	0.793	0.213	0.672
0.906	0.143	0.694	0.416	0.786	0.213	0.664
0.912	0.156	0.699	0.453	0.792	0.232	0.672
0.91	0.149	0.693	0.438	0.787	0.222	0.665
0.913	0.154	0.69	0.461	0.786	0.231	0.665
0.905	0.138	0.699	0.399	0.789	0.206	0.666
0.906	0.137	0.69	0.406	0.783	0.204	0.659
0.907	0.14	0.692	0.414	0.785	0.21	0.662
0.902	0.147	0.691	0.415	0.782	0.217	0.659
0.909	0.137	0.69	0.417	0.784	0.206	0.661
0.904	0.142	0.697	0.403	0.787	0.21	0.665
0.906	0.157	0.702	0.432	0.791	0.23	0.671
0.909	0.15	0.708	0.422	0.796	0.221	0.677
0.905	0.139	0.698	0.4	0.788	0.206	0.666
0.919	0.154	0.699	0.471	0.794	0.232	0.675
0.908	0.14	0.692	0.418	0.785	0.21	0.662
0.909	0.152	0.687	0.449	0.783	0.227	0.661
0.899	0.146	0.69	0.404	0.781	0.214	0.657
0.91	0.149	0.695	0.438	0.788	0.222	0.667
0.909	0.147	0.686	0.441	0.782	0.22	0.659
0.906	0.144	0.686	0.427	0.781	0.216	0.657
