0.899	0.261	0.753	0.508	0.819	0.345
0.915	0.251	0.752	0.545	0.825	0.344
0.901	0.246	0.767	0.476	0.829	0.324
0.908	0.272	0.755	0.544	0.825	0.363
0.917	0.261	0.756	0.556	0.829	0.355
0.905	0.259	0.754	0.521	0.823	0.346
0.927	0.279	0.768	0.597	0.84	0.38
0.904	0.268	0.755	0.528	0.823	0.356
0.909	0.248	0.749	0.525	0.821	0.337
0.911	0.236	0.762	0.497	0.83	0.32
0.912	0.25	0.755	0.528	0.826	0.339
0.915	0.246	0.767	0.517	0.834	0.333
0.914	0.265	0.75	0.559	0.824	0.359
0.912	0.253	0.764	0.52	0.832	0.341
0.903	0.279	0.765	0.525	0.828	0.364
0.919	0.243	0.758	0.538	0.831	0.335
0.909	0.259	0.75	0.537	0.821	0.349
0.907	0.291	0.761	0.557	0.827	0.382
0.915	0.249	0.762	0.526	0.831	0.338
0.93	0.245	0.755	0.584	0.834	0.346
0.913	0.223	0.754	0.497	0.826	0.308
0.909	0.268	0.763	0.532	0.83	0.357
0.905	0.279	0.756	0.543	0.824	0.369
0.915	0.263	0.766	0.539	0.834	0.353
0.904	0.26	0.769	0.5	0.831	0.342
0.912	0.28	0.78	0.532	0.841	0.367
0.91	0.244	0.763	0.503	0.83	0.328
0.91	0.246	0.752	0.522	0.824	0.335
0.915	0.262	0.752	0.557	0.826	0.357
0.908	0.247	0.756	0.511	0.825	0.333
0.919	0.255	0.752	0.562	0.827	0.351
0.906	0.252	0.756	0.511	0.824	0.337
0.913	0.253	0.758	0.531	0.829	0.342
0.914	0.257	0.762	0.536	0.831	0.348
0.899	0.272	0.761	0.51	0.824	0.355
0.917	0.23	0.764	0.506	0.834	0.316
0.904	0.248	0.753	0.505	0.822	0.333
0.917	0.255	0.762	0.543	0.832	0.347
0.904	0.26	0.752	0.521	0.821	0.347
0.916	0.268	0.758	0.563	0.829	0.363
0.916	0.263	0.764	0.547	0.833	0.355
0.92	0.272	0.768	0.564	0.837	0.367
0.912	0.243	0.765	0.506	0.832	0.328
0.918	0.255	0.765	0.54	0.835	0.347
0.915	0.256	0.76	0.539	0.831	0.347
0.901	0.264	0.747	0.525	0.816	0.351
0.918	0.272	0.769	0.556	0.837	0.365
0.902	0.244	0.753	0.492	0.821	0.326
0.905	0.269	0.762	0.523	0.827	0.356
0.912	0.271	0.757	0.553	0.828	0.364
0.923	0.232	0.771	0.519	0.84	0.321
0.908	0.221	0.75	0.483	0.821	0.303
0.909	0.243	0.751	0.517	0.823	0.331
0.917	0.263	0.772	0.54	0.838	0.354
0.918	0.253	0.766	0.538	0.835	0.344
0.921	0.274	0.763	0.578	0.835	0.372
0.918	0.292	0.768	0.582	0.837	0.389
0.896	0.239	0.753	0.468	0.818	0.316
0.915	0.253	0.757	0.539	0.828	0.345
0.92	0.282	0.76	0.589	0.832	0.381
0.918	0.259	0.777	0.529	0.842	0.347
0.912	0.249	0.765	0.514	0.832	0.336
0.916	0.247	0.762	0.526	0.832	0.336
0.915	0.266	0.762	0.549	0.832	0.358
0.912	0.255	0.777	0.506	0.839	0.339
0.905	0.257	0.763	0.508	0.828	0.342
0.92	0.243	0.753	0.547	0.828	0.337
0.915	0.265	0.751	0.562	0.825	0.36
0.909	0.257	0.755	0.53	0.825	0.346
0.916	0.265	0.753	0.563	0.827	0.36
0.915	0.247	0.768	0.517	0.836	0.335
0.919	0.242	0.765	0.527	0.835	0.331
0.923	0.251	0.771	0.542	0.84	0.343
0.919	0.255	0.749	0.565	0.826	0.351
0.909	0.268	0.761	0.534	0.828	0.357
0.907	0.273	0.759	0.539	0.827	0.362
0.918	0.244	0.759	0.535	0.831	0.335
0.923	0.28	0.766	0.589	0.837	0.38
0.906	0.233	0.757	0.486	0.825	0.315
0.905	0.228	0.747	0.489	0.819	0.311
0.917	0.251	0.757	0.543	0.829	0.343
0.912	0.26	0.765	0.527	0.832	0.348
0.915	0.245	0.768	0.512	0.835	0.331
0.923	0.265	0.755	0.585	0.831	0.365
0.901	0.253	0.768	0.484	0.829	0.333
0.915	0.236	0.763	0.509	0.832	0.323
0.906	0.269	0.769	0.516	0.832	0.354
0.917	0.269	0.776	0.539	0.84	0.359
0.908	0.263	0.772	0.508	0.834	0.346
0.908	0.265	0.767	0.519	0.832	0.351
0.913	0.261	0.761	0.538	0.83	0.352
0.927	0.253	0.767	0.567	0.84	0.35
0.904	0.245	0.764	0.486	0.828	0.326
0.91	0.239	0.777	0.477	0.838	0.318
0.903	0.25	0.745	0.516	0.816	0.337
0.908	0.227	0.758	0.48	0.826	0.308
0.909	0.273	0.762	0.539	0.829	0.363
0.911	0.265	0.753	0.548	0.824	0.358
0.917	0.288	0.775	0.565	0.84	0.381
0.91	0.287	0.771	0.546	0.835	0.377
0.917	0.237	0.755	0.527	0.828	0.327
0.898	0.266	0.761	0.5	0.824	0.347
0.906	0.255	0.763	0.505	0.828	0.339
0.912	0.256	0.754	0.538	0.826	0.347
0.909	0.273	0.767	0.534	0.832	0.361
0.908	0.252	0.762	0.508	0.828	0.337
0.91	0.242	0.772	0.489	0.836	0.324
0.932	0.252	0.767	0.585	0.841	0.352
0.918	0.239	0.77	0.512	0.837	0.326
0.913	0.245	0.757	0.523	0.828	0.334
0.923	0.244	0.763	0.545	0.835	0.337
0.926	0.28	0.767	0.599	0.839	0.382
